CodTempo,Data,GiornoSettimana,Mese,Anno
1,2023-07-01,tuesday,7-2023,2023
2,2023-07-02,wednesday,7-2023,2023
3,2023-07-03,thursday,7-2023,2023
4,2023-07-04,friday,7-2023,2023
5,2023-07-05,saturday,7-2023,2023
6,2023-08-01,friday,8-2023,2023
7,2023-08-02,saturday,8-2023,2023
8,2023-08-03,sunday,8-2023,2023
9,2023-08-04,monday,8-2023,2023
10,2023-08-05,tuesday,8-2023,2023
11,2023-10-01,wednesday,10-2023,2023
12,2023-10-02,thursday,10-2023,2023
13,2023-10-03,friday,10-2023,2023
14,2023-10-04,saturday,10-2023,2023
15,2023-10-05,sunday,10-2023,2023
16,2024-07-01,thursday,7-2024,2024
17,2024-07-02,friday,7-2024,2024
18,2024-07-03,saturday,7-2024,2024
19,2024-07-04,sunday,7-2024,2024
20,2024-07-05,monday,7-2024,2024
21,2024-08-01,sunday,8-2024,2024
22,2024-08-02,monday,8-2024,2024
23,2024-08-03,tuesday,8-2024,2024
24,2024-08-04,wednesday,8-2024,2024
25,2024-08-05,thursday,8-2024,2024
26,2024-10-01,friday,10-2024,2024
27,2024-10-02,saturday,10-2024,2024
28,2024-10-03,sunday,10-2024,2024
29,2024-10-04,monday,10-2024,2024
30,2024-10-05,tuesday,10-2024,2024
